iter	Passed	Remaining
0	2	2166
1	4	2074
2	6	2043
3	8	2070
4	10	2090
5	12	2095
6	14	2070
7	16	2045
8	18	2051
9	20	2043
10	22	2030
11	24	2019
12	26	2038
13	28	2030
14	30	2025
15	32	2021
16	34	2019
17	37	2024
18	39	2022
19	41	2022
20	43	2018
21	45	2018
22	47	2018
23	49	2011
24	51	2006
25	53	1999
26	55	1998
27	57	1997
28	59	1990
29	61	1984
30	63	1978
31	65	1974
32	67	1969
33	69	1964
34	71	1958
35	73	1958
36	75	1958
37	77	1953
38	79	1950
39	81	1946
40	83	1942
41	85	1940
42	87	1938
43	89	1935
44	90	1931
45	92	1925
46	94	1925
47	96	1923
48	99	1921
49	100	1917
50	102	1915
51	104	1912
52	106	1909
53	108	1905
54	110	1904
55	112	1904
56	115	1903
57	116	1900
58	119	1898
59	121	1899
60	123	1898
61	125	1894
62	127	1892
63	129	1889
64	131	1888
65	133	1888
66	135	1886
67	137	1883
68	139	1881
69	141	1879
70	143	1877
71	145	1875
72	147	1873
73	149	1871
74	151	1869
75	153	1866
76	155	1864
77	157	1861
78	159	1858
79	161	1857
80	163	1854
81	165	1850
82	167	1847
83	169	1847
84	171	1848
85	173	1846
86	175	1845
87	177	1842
88	179	1841
89	181	1839
90	183	1837
91	185	1835
92	187	1832
93	190	1832
94	192	1829
95	194	1827
96	195	1824
97	197	1821
98	199	1819
99	202	1818
100	203	1815
101	205	1813
102	207	1811
103	210	1810
104	212	1807
105	214	1805
106	215	1802
107	217	1799
108	219	1793
109	221	1791
110	223	1788
111	225	1785
112	227	1782
113	229	1782
114	231	1780
115	233	1777
116	235	1774
117	237	1773
118	239	1771
119	241	1769
120	243	1767
121	245	1765
122	247	1763
123	249	1761
124	251	1758
125	253	1755
126	254	1752
127	256	1750
128	258	1748
129	260	1745
130	262	1742
131	264	1740
132	266	1739
133	268	1737
134	270	1734
135	272	1731
136	274	1729
137	276	1727
138	278	1724
139	280	1722
140	282	1719
141	284	1716
142	286	1714
143	288	1712
144	290	1710
